Application	Host	Time	Unix Time	Type	Source	User	Status Code	Message	URL	XMLREF	JSONREF
PNMAC.Bankruptcy.Web	VDD-RRAO1	8/28/2019 15:10	1567005021	System.Net.WebException	PNMAC.Core.WebApi	PNMAC\rrao1	0	"
VERB:Get to URL:https://loanservices-dev.pnmac.com/api/Loans/1000533167/LoanStatusBar/ 
REQUEST:
Method: GET, RequestUri: 'https://loanservices-dev.pnmac.com/api/Loans/1000533167/LoanStatusBar/', Version: 1.1, Content: <null>, Headers:
{
  Accept: application/json
}
RESPONSE:InternalServerError - Internal Server Error
{
  ""$id"": ""1"",
  ""Message"": ""An error has occurred."",
  ""ExceptionMessage"": ""The 'ObjectContent`1' type failed to serialize the response body for content type 'application/json; charset=utf-8'."",
  ""ExceptionType"": ""System.InvalidOperationException"",
  ""StackTrace"": null,
  ""InnerException"": {
    ""$id"": ""2"",
    ""Message"": ""An error has occurred."",
    ""ExceptionMessage"": ""The underlying provider failed on Open."",
    ""ExceptionType"": ""System.Data.Entity.Core.EntityException"",
    ""StackTrace"": ""   at System.Data.Entity.Core.EntityClient.EntityConnection.Open()\r\n   at System.Data.Entity.Core.Objects.ObjectContext.EnsureConnection(Boolean shouldMonitorTransactions)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteInTransaction[T](Func`1 func, IDbExecutionStrategy executionStrategy, Boolean startLocalTransaction, Boolean releaseConnectionOnSuccess)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.<>c__DisplayClass69`1.<ExecuteStoreQueryReliably>b__67()\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.Execute[TResult](Func`1 operation)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteStoreQueryReliably[TElement](String commandText, String entitySetName, ExecutionOptions executionOptions, Object[] parameters)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteStoreQuery[TElement](String commandText, ExecutionOptions executionOptions, Object[] parameters)\r\n   at System.Data.Entity.Internal.LazyEnumerator`1.MoveNext()\r\n   at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.SerializeList(JsonWriter writer, IEnumerable values, JsonArrayContract contract, JsonProperty member, JsonContainerContract collectionContract, JsonProperty containerProperty)\r\n   at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize(JsonWriter jsonWriter, Object value, Type objectType)\r\n   at Newtonsoft.Json.JsonSerializer.SerializeInternal(JsonWriter jsonWriter, Object value, Type objectType)\r\n   at System.Net.Http.Formatting.BaseJsonMediaTypeFormatter.WriteToStream(Type type, Object value, Stream writeStream, Encoding effectiveEncoding)\r\n   at System.Net.Http.Formatting.JsonMediaTypeFormatter.WriteToStream(Type type, Object value, Stream writeStream, Encoding effectiveEncoding)\r\n   at System.Net.Http.Formatting.BaseJsonMediaTypeFormatter.WriteToStreamAsync(Type type, Object value, Stream writeStream, HttpContent content, TransportContext transportContext, CancellationToken cancellationToken)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Net.Http.HttpContent.<CopyToAsyncCore>d__44.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ValidateEnd(Task task)\r\n   at System.Web.Http.WebHost.HttpControllerHandler.<WriteBufferedResponseContentAsync>d__22.MoveNext()"",
    ""InnerException"": {
      ""$id"": ""3"",
      ""Message"": ""An error has occurred."",
      ""ExceptionMessage"": ""A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)"",
      ""ExceptionType"": ""System.Data.SqlClient.SqlException"",
      ""StackTrace"": ""   at System.Data.SqlClient.SqlInternalConnectionTds..ctor(DbConnectionPoolIdentity identity, SqlConnectionString connectionOptions, SqlCredential credential, Object providerInfo, String newPassword, SecureString newSecurePassword, Boolean redirectedUserInstance, SqlConnectionString userConnectionOptions, SessionData reconnectSessionData, DbConnectionPool pool, String accessToken, Boolean applyTransientFaultHandling, SqlAuthenticationProviderManager sqlAuthProviderManager)\r\n   at System.Data.SqlClient.SqlConnectionFactory.CreateConnection(DbConnectionOptions options, DbConnectionPoolKey poolKey, Object poolGroupProviderInfo, DbConnectionPool pool, DbConnection owningConnection, DbConnectionOptions userOptions)\r\n   at System.Data.ProviderBase.DbConnectionFactory.CreatePooledConnection(DbConnectionPool pool, DbConnection owningObject, DbConnectionOptions options, DbConnectionPoolKey poolKey, DbConnectionOptions userOptions)\r\n   at System.Data.ProviderBase.DbConnectionPool.CreateObject(DbConnection owningObject, DbConnectionOptions userOptions, DbConnectionInternal oldConnection)\r\n   at System.Data.ProviderBase.DbConnectionPool.UserCreateRequest(DbConnection owningObject, DbConnectionOptions userOptions, DbConnectionInternal oldConnection)\r\n   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, UInt32 waitForMultipleObjectsTimeout, Boolean allowCreate, Boolean onlyOneCheckConnection, DbConnectionOptions userOptions, DbConnectionInternal& connection)\r\n   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal& connection)\r\n   at System.Data.ProviderBase.DbConnectionFactory.TryGetConnection(DbConnection owningConnection, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal oldConnection, DbConnectionInternal& connection)\r\n   at System.Data.ProviderBase.DbConnectionInternal.TryOpenConnectionInternal(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions)\r\n   at System.Data.SqlClient.SqlConnection.TryOpenInner(TaskCompletionSource`1 retry)\r\n   at System.Data.SqlClient.SqlConnection.TryOpen(TaskCompletionSource`1 retry)\r\n   at System.Data.SqlClient.SqlConnection.Open()\r\n   at System.Data.Entity.Infrastructure.Interception.InternalDispatcher`1.Dispatch[TTarget,TInterceptionContext](TTarget target, Action`2 operation, TInterceptionContext interceptionContext, Action`3 executing, Action`3 executed)\r\n   at System.Data.Entity.Infrastructure.Interception.DbConnectionDispatcher.Open(DbConnection connection, DbInterceptionContext interceptionContext)\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.<>c__DisplayClass1.<Execute>b__0()\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.Execute[TResult](Func`1 operation)\r\n   at System.Data.Entity.Core.EntityClient.EntityConnection.Open()"",
      ""InnerException"": {
        ""$id"": ""4"",
        ""Message"": ""An error has occurred."",
        ""ExceptionMessage"": ""The network path was not found"",
        ""ExceptionType"": ""System.ComponentModel.Win32Exception"",
        ""StackTrace"": null
      }
    }
  }
}"	https://localhost:44376/admin/elmah/detail?id=b160fb98-92c7-4691-920e-5f5d8e827635	https://localhost:44376/admin/elmah/xml?id=b160fb98-92c7-4691-920e-5f5d8e827635	https://localhost:44376/admin/elmah/json?id=b160fb98-92c7-4691-920e-5f5d8e827635
PNMAC.Bankruptcy.Web	VDD-RRAO1	8/28/2019 15:00	1567004410	System.ArgumentException	System.Web.Mvc	PNMAC\rrao1	0	"The parameters dictionary contains a null entry for parameter 'loanId' of non-nullable type 'System.Int64' for method 'System.Web.Mvc.ActionResult Index(System.String, Int64, Boolean)' in 'PNMAC.Bankruptcy.Web.Controllers.BankruptcySummaryController'. An optional parameter must be a reference type, a nullable type, or be declared as an optional parameter.
Parameter name: parameters"	https://localhost:44376/admin/elmah/detail?id=443e83ba-5c12-4e22-8a13-a9aa9c8125c5	https://localhost:44376/admin/elmah/xml?id=443e83ba-5c12-4e22-8a13-a9aa9c8125c5	https://localhost:44376/admin/elmah/json?id=443e83ba-5c12-4e22-8a13-a9aa9c8125c5
PNMAC.Bankruptcy.Web	VDD-RRAO1	8/28/2019 15:00	1567004410	System.ArgumentException	System.Web.Mvc	PNMAC\rrao1	0	"The parameters dictionary contains a null entry for parameter 'loanId' of non-nullable type 'System.Int64' for method 'System.Web.Mvc.ActionResult Index(System.String, Int64, Boolean)' in 'PNMAC.Bankruptcy.Web.Controllers.BankruptcySummaryController'. An optional parameter must be a reference type, a nullable type, or be declared as an optional parameter.
Parameter name: parameters"	https://localhost:44376/admin/elmah/detail?id=ba4cbc0f-5cd4-400d-87b5-49a97bf7b651	https://localhost:44376/admin/elmah/xml?id=ba4cbc0f-5cd4-400d-87b5-49a97bf7b651	https://localhost:44376/admin/elmah/json?id=ba4cbc0f-5cd4-400d-87b5-49a97bf7b651
PNMAC.Bankruptcy.Web	VDD-RRAO1	8/28/2019 15:00	1567004409	System.ArgumentException	System.Web.Mvc	PNMAC\rrao1	0	"The parameters dictionary contains a null entry for parameter 'loanId' of non-nullable type 'System.Int64' for method 'System.Web.Mvc.ActionResult Index(System.String, Int64, Boolean)' in 'PNMAC.Bankruptcy.Web.Controllers.BankruptcySummaryController'. An optional parameter must be a reference type, a nullable type, or be declared as an optional parameter.
Parameter name: parameters"	https://localhost:44376/admin/elmah/detail?id=b91cf298-45f2-4c00-8e04-5a8607987b5b	https://localhost:44376/admin/elmah/xml?id=b91cf298-45f2-4c00-8e04-5a8607987b5b	https://localhost:44376/admin/elmah/json?id=b91cf298-45f2-4c00-8e04-5a8607987b5b
PNMAC.Bankruptcy.Web	WIN-60B9A7AE010	8/28/2019 14:39	1567003176	System.Net.WebException	PNMAC.Core.WebApi	PNMAC\rrao1	0	"
VERB:Get to URL:https://loanservices-dev.pnmac.com/api/Loans/1000533573/LoanStatusBar/ 
REQUEST:
Method: GET, RequestUri: 'https://loanservices-dev.pnmac.com/api/Loans/1000533573/LoanStatusBar/', Version: 1.1, Content: <null>, Headers:
{
  X-NewRelic-ID: Vw8OVl5VGwEBV1RVAAAAUA==
  X-NewRelic-Transaction: PxQOV1VUCwsHVVQndXMOV10HFB8EBw8RVU4aWw4LAwELUghUdCNxW1UPAUNKQQkLAldRUAUCFTs=
  Accept: application/json
}
RESPONSE:InternalServerError - Internal Server Error
{
  ""$id"": ""1"",
  ""Message"": ""An error has occurred."",
  ""ExceptionMessage"": ""The 'ObjectContent`1' type failed to serialize the response body for content type 'application/json; charset=utf-8'."",
  ""ExceptionType"": ""System.InvalidOperationException"",
  ""StackTrace"": null,
  ""InnerException"": {
    ""$id"": ""2"",
    ""Message"": ""An error has occurred."",
    ""ExceptionMessage"": ""The underlying provider failed on Open."",
    ""ExceptionType"": ""System.Data.Entity.Core.EntityException"",
    ""StackTrace"": ""   at System.Data.Entity.Core.EntityClient.EntityConnection.Open()\r\n   at System.Data.Entity.Core.Objects.ObjectContext.EnsureConnection(Boolean shouldMonitorTransactions)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteInTransaction[T](Func`1 func, IDbExecutionStrategy executionStrategy, Boolean startLocalTransaction, Boolean releaseConnectionOnSuccess)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.<>c__DisplayClass69`1.<ExecuteStoreQueryReliably>b__67()\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.Execute[TResult](Func`1 operation)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteStoreQueryReliably[TElement](String commandText, String entitySetName, ExecutionOptions executionOptions, Object[] parameters)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteStoreQuery[TElement](String commandText, ExecutionOptions executionOptions, Object[] parameters)\r\n   at System.Data.Entity.Internal.LazyEnumerator`1.MoveNext()\r\n   at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.SerializeList(JsonWriter writer, IEnumerable values, JsonArrayContract contract, JsonProperty member, JsonContainerContract collectionContract, JsonProperty containerProperty)\r\n   at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize(JsonWriter jsonWriter, Object value, Type objectType)\r\n   at Newtonsoft.Json.JsonSerializer.SerializeInternal(JsonWriter jsonWriter, Object value, Type objectType)\r\n   at System.Net.Http.Formatting.BaseJsonMediaTypeFormatter.WriteToStream(Type type, Object value, Stream writeStream, Encoding effectiveEncoding)\r\n   at System.Net.Http.Formatting.JsonMediaTypeFormatter.WriteToStream(Type type, Object value, Stream writeStream, Encoding effectiveEncoding)\r\n   at System.Net.Http.Formatting.BaseJsonMediaTypeFormatter.WriteToStreamAsync(Type type, Object value, Stream writeStream, HttpContent content, TransportContext transportContext, CancellationToken cancellationToken)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Net.Http.HttpContent.<CopyToAsyncCore>d__44.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.GetResult()\r\n   at System.Web.Http.WebHost.HttpControllerHandler.<WriteBufferedResponseContentAsync>d__22.MoveNext()"",
    ""InnerException"": {
      ""$id"": ""3"",
      ""Message"": ""An error has occurred."",
      ""ExceptionMessage"": ""A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)"",
      ""ExceptionType"": ""System.Data.SqlClient.SqlException"",
      ""StackTrace"": ""   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, UInt32 waitForMultipleObjectsTimeout, Boolean allowCreate, Boolean onlyOneCheckConnection, DbConnectionOptions userOptions, DbConnectionInternal& connection)\r\n   at System.Data.ProviderBase.DbConnectionPool.TryGetConnection(DbConnection owningObject, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal& connection)\r\n   at System.Data.ProviderBase.DbConnectionFactory.TryGetConnection(DbConnection owningConnection, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal oldConnection, DbConnectionInternal& connection)\r\n   at System.Data.ProviderBase.DbConnectionInternal.TryOpenConnectionInternal(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions)\r\n   at System.Data.SqlClient.SqlConnection.TryOpenInner(TaskCompletionSource`1 retry)\r\n   at System.Data.SqlClient.SqlConnection.TryOpen(TaskCompletionSource`1 retry)\r\n   at System.Data.SqlClient.SqlConnection.Open()\r\n   at System.Data.Entity.Infrastructure.Interception.InternalDispatcher`1.Dispatch[TTarget,TInterceptionContext](TTarget target, Action`2 operation, TInterceptionContext interceptionContext, Action`3 executing, Action`3 executed)\r\n   at System.Data.Entity.Infrastructure.Interception.DbConnectionDispatcher.Open(DbConnection connection, DbInterceptionContext interceptionContext)\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.<>c__DisplayClass1.<Execute>b__0()\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.Execute[TResult](Func`1 operation)\r\n   at System.Data.Entity.Core.EntityClient.EntityConnection.Open()"",
      ""InnerException"": {
        ""$id"": ""4"",
        ""Message"": ""An error has occurred."",
        ""ExceptionMessage"": ""The network path was not found"",
        ""ExceptionType"": ""System.ComponentModel.Win32Exception"",
        ""StackTrace"": null
      }
    }
  }
}"	https://localhost:44376/admin/elmah/detail?id=46451984-eb4a-45b2-8924-fb6dfd4d981d	https://localhost:44376/admin/elmah/xml?id=46451984-eb4a-45b2-8924-fb6dfd4d981d	https://localhost:44376/admin/elmah/json?id=46451984-eb4a-45b2-8924-fb6dfd4d981d
PNMAC.Bankruptcy.Web	WIN-253C7165D20	8/28/2019 14:38	1567003111	System.Net.WebException	PNMAC.Core.WebApi	PNMAC\rrao1	0	"
VERB:Get to URL:https://loanservices-dev.pnmac.com/api/Loans/1000533573/LoanStatusBar/ 
REQUEST:
Method: GET, RequestUri: 'https://loanservices-dev.pnmac.com/api/Loans/1000533573/LoanStatusBar/', Version: 1.1, Content: <null>, Headers:
{
  X-NewRelic-ID: Vw8OVl5VGwEBV1RVAAAAUA==
  X-NewRelic-Transaction: PxQOVF9UDncHUFVWDgkFUlIFFB8EBw8RVU4aWw0BAwR3Ug1VBVgLUFAAA0NKQQkLAldRUAUCFTs=
  Accept: application/json
}
RESPONSE:InternalServerError - Internal Server Error
{
  ""$id"": ""1"",
  ""Message"": ""An error has occurred."",
  ""ExceptionMessage"": ""The 'ObjectContent`1' type failed to serialize the response body for content type 'application/json; charset=utf-8'."",
  ""ExceptionType"": ""System.InvalidOperationException"",
  ""StackTrace"": null,
  ""InnerException"": {
    ""$id"": ""2"",
    ""Message"": ""An error has occurred."",
    ""ExceptionMessage"": ""The underlying provider failed on Open."",
    ""ExceptionType"": ""System.Data.Entity.Core.EntityException"",
    ""StackTrace"": ""   at System.Data.Entity.Core.EntityClient.EntityConnection.Open()\r\n   at System.Data.Entity.Core.Objects.ObjectContext.EnsureConnection(Boolean shouldMonitorTransactions)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteInTransaction[T](Func`1 func, IDbExecutionStrategy executionStrategy, Boolean startLocalTransaction, Boolean releaseConnectionOnSuccess)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.<>c__DisplayClass69`1.<ExecuteStoreQueryReliably>b__67()\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.Execute[TResult](Func`1 operation)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteStoreQueryReliably[TElement](String commandText, String entitySetName, ExecutionOptions executionOptions, Object[] parameters)\r\n   at System.Data.Entity.Core.Objects.ObjectContext.ExecuteStoreQuery[TElement](String commandText, ExecutionOptions executionOptions, Object[] parameters)\r\n   at System.Data.Entity.Internal.LazyEnumerator`1.MoveNext()\r\n   at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.SerializeList(JsonWriter writer, IEnumerable values, JsonArrayContract contract, JsonProperty member, JsonContainerContract collectionContract, JsonProperty containerProperty)\r\n   at Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize(JsonWriter jsonWriter, Object value, Type objectType)\r\n   at Newtonsoft.Json.JsonSerializer.SerializeInternal(JsonWriter jsonWriter, Object value, Type objectType)\r\n   at System.Net.Http.Formatting.BaseJsonMediaTypeFormatter.WriteToStream(Type type, Object value, Stream writeStream, Encoding effectiveEncoding)\r\n   at System.Net.Http.Formatting.JsonMediaTypeFormatter.WriteToStream(Type type, Object value, Stream writeStream, Encoding effectiveEncoding)\r\n   at System.Net.Http.Formatting.BaseJsonMediaTypeFormatter.WriteToStreamAsync(Type type, Object value, Stream writeStream, HttpContent content, TransportContext transportContext, CancellationToken cancellationToken)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Net.Http.HttpContent.<CopyToAsyncCore>d__44.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.GetResult()\r\n   at System.Web.Http.WebHost.HttpControllerHandler.<WriteBufferedResponseContentAsync>d__22.MoveNext()"",
    ""InnerException"": {
      ""$id"": ""3"",
      ""Message"": ""An error has occurred."",
      ""ExceptionMessage"": ""Timeout expired.  The timeout period elapsed prior to obtaining a connection from the pool.  This may have occurred because all pooled connections were in use and max pool size was reached."",
      ""ExceptionType"": ""System.InvalidOperationException"",
      ""StackTrace"": ""   at System.Data.ProviderBase.DbConnectionFactory.TryGetConnection(DbConnection owningConnection, TaskCompletionSource`1 retry, DbConnectionOptions userOptions, DbConnectionInternal oldConnection, DbConnectionInternal& connection)\r\n   at System.Data.ProviderBase.DbConnectionInternal.TryOpenConnectionInternal(DbConnection outerConnection, DbConnectionFactory connectionFactory, TaskCompletionSource`1 retry, DbConnectionOptions userOptions)\r\n   at System.Data.SqlClient.SqlConnection.TryOpenInner(TaskCompletionSource`1 retry)\r\n   at System.Data.SqlClient.SqlConnection.TryOpen(TaskCompletionSource`1 retry)\r\n   at System.Data.SqlClient.SqlConnection.Open()\r\n   at System.Data.Entity.Infrastructure.Interception.InternalDispatcher`1.Dispatch[TTarget,TInterceptionContext](TTarget target, Action`2 operation, TInterceptionContext interceptionContext, Action`3 executing, Action`3 executed)\r\n   at System.Data.Entity.Infrastructure.Interception.DbConnectionDispatcher.Open(DbConnection connection, DbInterceptionContext interceptionContext)\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.<>c__DisplayClass1.<Execute>b__0()\r\n   at System.Data.Entity.SqlServer.DefaultSqlExecutionStrategy.Execute[TResult](Func`1 operation)\r\n   at System.Data.Entity.Core.EntityClient.EntityConnection.Open()""
    }
  }
}"	https://localhost:44376/admin/elmah/detail?id=75e55fd4-6b45-494a-9261-9bb3c451fb86	https://localhost:44376/admin/elmah/xml?id=75e55fd4-6b45-494a-9261-9bb3c451fb86	https://localhost:44376/admin/elmah/json?id=75e55fd4-6b45-494a-9261-9bb3c451fb86
PNMAC.Bankruptcy.Web	WIN-253C7165D20	8/28/2019 14:37	1567003072	System.Net.WebException	System	PNMAC\rrao1	0	The underlying connection was closed: The connection was closed unexpectedly.	https://localhost:44376/admin/elmah/detail?id=60cca004-5bde-45c2-bcdc-771025b06057	https://localhost:44376/admin/elmah/xml?id=60cca004-5bde-45c2-bcdc-771025b06057	https://localhost:44376/admin/elmah/json?id=60cca004-5bde-45c2-bcdc-771025b06057
PNMAC.Bankruptcy.Web	VDD-RRAO1	8/28/2019 13:32	1566999155	PNMAC.Core.Web.Controllers.JavaScriptException		PNMAC\rrao1	0	"Uncaught ReferenceError: showDetails is not defined: at document path 'https://localhost:44376/Bankruptcy/BankruptcyManagement?loanId=1000533965'.
  at anonymous('Uncaught ReferenceError: showDetails is not defined', 'https://localhost:44376/Bankruptcy/BankruptcyManagement?loanId=1000533965', '1143', '194', 'ReferenceError: showDetails is not defined')"	https://localhost:44376/admin/elmah/detail?id=d6477682-e56c-481c-9b17-6555364d7841	https://localhost:44376/admin/elmah/xml?id=d6477682-e56c-481c-9b17-6555364d7841	https://localhost:44376/admin/elmah/json?id=d6477682-e56c-481c-9b17-6555364d7841
PNMAC.Bankruptcy.Web	VDD-RRAO1	8/28/2019 13:32	1566999150	PNMAC.Core.Web.Controllers.JavaScriptException		PNMAC\rrao1	0	"Uncaught ReferenceError: showDetails is not defined: at document path 'https://localhost:44376/Bankruptcy/BankruptcyManagement?loanId=1000533965'.
  at anonymous('Uncaught ReferenceError: showDetails is not defined', 'https://localhost:44376/Bankruptcy/BankruptcyManagement?loanId=1000533965', '1143', '194', 'ReferenceError: showDetails is not defined')"	https://localhost:44376/admin/elmah/detail?id=ce41d842-c85f-4455-9eb6-04dd232f0256	https://localhost:44376/admin/elmah/xml?id=ce41d842-c85f-4455-9eb6-04dd232f0256	https://localhost:44376/admin/elmah/json?id=ce41d842-c85f-4455-9eb6-04dd232f0256
PNMAC.Bankruptcy.Web	VDD-RRAO1	8/28/2019 13:00	1566997205	PNMAC.Core.Web.Controllers.JavaScriptException		PNMAC\rrao1	0	"Uncaught SyntaxError: Unexpected identifier: at document path 'https://localhost:44376/Bankruptcy/BankruptcyManagement?loanId=1000533965'.
  at anonymous('Uncaught SyntaxError: Unexpected identifier', 'https://localhost:44376/Bankruptcy/BankruptcyManagement?loanId=1000533965', '1', '11', 'SyntaxError: Unexpected identifier')"	https://localhost:44376/admin/elmah/detail?id=0ab39be4-ebbf-44dc-aca1-ab382060fe23	https://localhost:44376/admin/elmah/xml?id=0ab39be4-ebbf-44dc-aca1-ab382060fe23	https://localhost:44376/admin/elmah/json?id=0ab39be4-ebbf-44dc-aca1-ab382060fe23
